,name,price,description,trassmition,model,milage,fuel
6742,Mercedes-benz Classe E,"63,352 ",New Shape Model 24 Ready Eu1 Possible,Automatic,2024,10 km,Petrol
6743,Mercedes-benz Classe E,"84,422 ",Lim. Avantgarde Advanced Plus Mbux My24,Automatic,2024,10 km,Petrol
6744,Mercedes-benz Classe E,"75,252 ",E -klasse Lim. E 200 Amg Line Rear Axle,Automatic,2024,10 km,Petrol
6745,Mercedes-benz Classe E,"73,467 ",Avantgarde|hypersc. Mbu |eur1|pano|,Automatic,2024,10 km,Petrol
6746,Mercedes-benz Classe C,"48,913 ",Limo Amg Line Adv Plus Night 19 Zoll Memor,Automatic,2023,"22,406 km",Petrol
6747,Mercedes-benz Classe C,"32,413 ","T 3x Amg Night Wide,multibeam,burmester,sh",Automatic,2018,"66,147 km",Petrol
6748,Mercedes-benz Classe C,"47,915 ",C 200 T-modell Avantgarde Exterieur/navi/autom.,Automatic,2023,"16,814 km",Petrol
6749,Mercedes-benz Classe C,"44,617 ",Avantg+pano+led+kamera+keyless+9g,Automatic,2023,"3,994 km",Petrol
6750,Mercedes-benz Classe C,"37,699 ",C 200 T 4matic Panod. Led Navi El-klappe Kamera!,Automatic,2022,"35,390 km",Petrol
6751,Mercedes-benz Classe C,"21,349 ",Automatik**navi+kamera+winter**,Automatic,2019,"139,900 km",Diesel
6752,Mercedes-benz Classe C,"41,689 ",Cabrio Mh+amg Line +cam+airscarf+mbeam++++,Automatic,2023,"45,000 km",Petrol
6753,Mercedes-benz Classe C,"27,859 ",T D Avantgarde 9g-tronic Pano Ahk Multi,Automatic,2021,"125,000 km",Diesel
6754,Mercedes-benz Classe C,"30,908 ",T Avantgarde Comand Led Rfkam 9gtr Stdhzg,Automatic,2019,"39,655 km",Petrol
6755,Mercedes-benz Classe C,"46,707 ",C 200 4matic Avantgarde Advanced Plus/navi/autom.,Automatic,2024,"3,331 km",Petrol
6756,Mercedes-benz Classe C,"39,579 ",T D Avantgarde Ahk Mbux Totw. Led Kamera,Automatic,2023,"43,920 km",Diesel
6757,Mercedes-benz Classe C,"38,019 ",T D Avantgarde (pano Night Ahk Business,Automatic,2023,"45,160 km",Diesel
6758,Mercedes-benz Classe C,"40,413 ",T Avantg+360+ahk+keyless+9g,Automatic,2023,"17,584 km",Petrol
6759,Mercedes-benz Classe C,"49,905 ",Amg+360+burmester+keyless+9g,Automatic,2023,"11,844 km",Petrol
6760,Mercedes-benz Classe C,"30,757 ",D.amg.wide.led.navi.pano.kam.euro6,Automatic,2019,"64,000 km",Diesel
6761,Mercedes-benz Classe C,"25,793 ",C 200 T 4matic /led/navi/tempomat/bluetooth,Automatic,2018,"76,806 km",Hybrid
6762,Mercedes-benz Classe C,"22,492 ",(bluetec) D T Amg Line,Manual,2017,"138,627 km",Diesel
